id,label
GAPDH,Entity
chronic intestinal failure,Entity
Small intestinal polyposis,Entity
hepatitis E virus infection,Entity
RPL24,Entity
duodenal somatostatinoma,Entity
Isopropamide,Entity
Ceftizoxime,Entity
RB1,Entity
Dutasteride,Entity
THADA,Entity
rectal neoplasm,Entity
ATF3,Entity
PLCB1,Entity
mucinous adenocarcinoma of the appendix,Entity
PTPRJ,Entity
ABCC4,Entity
CFHR5,Entity
Rectal polyposis,Entity
Narrow chest,Entity
carcinoma in situ of cecum,Entity
SLC10A1,Entity
anal canal adenocarcinoma (disease),Entity
Low plasma citrulline,Entity
Fidaxomicin,Entity
EP300,Entity
anus lymphoma,Entity
adenoid cystic carcinoma of oropharynx,Entity
IgG4-related retroperitoneal fibrosis,Entity
Tamsulosin,Entity
Bifid sacrum,Entity
Dependency on intravenous nutrition,Entity
intestinal disease due to fat malabsorption,Entity
CC2D2A,Entity
gastroesophageal reflux disease,Entity
Dexfenfluramine,Entity
mucin-producing carcinoma,Entity
NTRK3,Entity
EML2,Entity
aflatoxin-related hepatocellular carcinoma,Entity
SLC6A14,Entity
Extrahepatic biliary duct atresia,Entity
lysine malabsorption syndrome,Entity
CYP19A1,Entity
Acetophenazine,Entity
MKI67,Entity
MYB,Entity
Impaired glucose tolerance,Entity
Abnormal oral glucose tolerance,Entity
Aplasia cutis congenita over the scalp vertex,Entity
UMPS,Entity
lipoma of colon,Entity
CNTN1,Entity
PA2G4,Entity
NAXD,Entity
Vocal cord paresis,Entity
syndromic intestinal malformation,Entity
paranasal sinus adenoid cystic carcinoma,Entity
Salmeterol,Entity
FCN2,Entity
AGPAT2,Entity
Increased total bilirubin,Entity
radiation proctitis,Entity
tricho-hepato-enteric syndrome,Entity
CTNNA1,Entity
Abnormal cerebral vascular morphology,Entity
CYP2R1,Entity
Ketoacidosis,Entity
Rosiglitazone,Entity
uvula cancer,Entity
solid pseudopapillary neoplasm of the pancreas,Entity
Pulmonary arterial hypertension,Entity
anal canal Paget disease,Entity
Vascular dilatation,Entity
HK3,Entity
CELA3B,Entity
Abnormal respiratory system morphology,Entity
Nabumetone,Entity
F5,Entity
anorectal stricture,Entity
Salicylic acid,Entity
Calvarial skull defect,Entity
Thick eyebrow,Entity
MAGEA1,Entity
Bromine,Entity
Cabergoline,Entity
Neuroblastoma,Entity
cap polyposis,Entity
Furosemide,Entity
TPX2,Entity
SOCS3,Entity
Respiratory insufficiency due to muscle weakness,Entity
adenomatoid odontogenic tumor,Entity
ALAD,Entity
OXT,Entity
colorectal squamous cell carcinoma,Entity
infantile diarrhea,Entity
Oxybutynin,Entity
CLIC1,Entity
TAGAP,Entity
Aplastic/hypoplastic toenail,Entity
EPO,Entity
Riboflavin,Entity
bile duct adenocarcinoma,Entity
endometriosis (disease),Entity
alveolar echinococcosis,Entity
pediatric collagenous gastritis,Entity
Intestinal carcinoid,Entity
BRINP1,Entity
WASL,Entity
Phenol,Entity
cystadenocarcinoma,Entity
HAO2,Entity
ATOX1,Entity
RGN,Entity
Interstitial pneumonitis,Entity
Golimumab,Entity
Immune dysregulation,Entity
Rubidium,Entity
MIR3591,Entity
peptic ulcer perforation,Entity
Epigastric pain,Entity
SYT9,Entity
HNF1A,Entity
CBX5,Entity
Levetiracetam,Entity
Synthetic camphor,Entity
colon signet ring cell adenocarcinoma,Entity
genetic nervous system disorder,Entity
GRID1,Entity
colon serrated polyposis,Entity
CALR,Entity
congenital sucrase-isomaltase deficiency without sucrose intolerance,Entity
Anti-thyroid peroxidase antibody positivity,Entity
CCNB1,Entity
epithelial tumor of anal canal,Entity
Abnormality of skin pigmentation,Entity
Hypoplasia of the uterus,Entity
FGFR3,Entity
NFXL1,Entity
Small nail,Entity
Gastrointestinal atresia,Entity
partial monosomy of the short arm of chromosome 20,Entity
MIR625,Entity
Neck pain,Entity
PLS3,Entity
Abnormal pineal melatonin secretion,Entity
CLSTN2,Entity
MFF,Entity
Ixabepilone,Entity
PDILT,Entity
familial pancreatic carcinoma,Entity
MLC1,Entity
TCOF1,Entity
Brittle hair,Entity
CEP131,Entity
pouchitis,Entity
Hepatomegaly,Entity
ACSL1,Entity
childhood malignant neoplasm,Entity
Magnesium trisilicate,Entity
FOXP3,Entity
MRO,Entity
TCTN1,Entity
Schwannoma,Entity
Athetosis,Entity
diarrhea 9,Entity
Alagille syndrome due to a NOTCH2 point mutation,Entity
PTPRS,Entity
Intermittent jaundice,Entity
bile duct neoplasm,Entity
Nausea,Entity
Brimonidine,Entity
Abnormality of the pancreatic islet cells,Entity
Tobramycin,Entity
CSRNP3,Entity
Abnormal rectum morphology,Entity
Hypoalbuminemia,Entity
Crohn disease,Entity
hepatobiliary disease,Entity
cefuroxime axetil,Entity
Polyuria,Entity
Laryngeal stridor,Entity
DNAH8,Entity
LRP5,Entity
Elevated alkaline phosphatase of hepatic origin,Entity
PLCE1,Entity
Trichlorfon,Entity
"hepatitis, viral, animal",Entity
MBTPS2,Entity
"Sodium phosphate, dibasic",Entity
genetic cardiac rhythm disease,Entity
Renal Fanconi syndrome,Entity
MIR1271,Entity
Arterial occlusion,Entity
ESM1,Entity
Hyperchloremic metabolic acidosis,Entity
Mebeverine,Entity
large intestine disease,Entity
Oxymorphone,Entity
pediatric hepatocellular carcinoma,Entity
primary desmosis coli,Entity
Anagrelide,Entity
VIPoma,Entity
Pitavastatin,Entity
Hyperbilirubinemia,Entity
Unilateral renal agenesis,Entity
Sulfabenzamide,Entity
Levonorgestrel,Entity
CPE,Entity
Verteporfin,Entity
IL12A,Entity
SLC66A2,Entity
Peginterferon alfa-2a,Entity
FBLN2,Entity
AGTPBP1,Entity
Fosinopril,Entity
ATF4,Entity
LOXL2,Entity
SLC2A4,Entity
esophagitis (disease),Entity
hyperinsulinism due to HNF4A deficiency,Entity
tumor of salivary gland,Entity
Doxazosin,Entity
ZDHHC2,Entity
PARP1,Entity
Prominent nasal bridge,Entity
Anteverted nares,Entity
DNASE1L3,Entity
IFNL3,Entity
ICAM5,Entity
Amaurosis fugax,Entity
immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome,Entity
Increased urinary porphobilinogen,Entity
LDHA,Entity
COL15A1,Entity
pancreatic acinar cell cystadenocarcinoma,Entity
MIR206,Entity
constipation disorder,Entity
Multiple small medullary renal cysts,Entity
ORC1,Entity
Inflammatory cap polyp,Entity
PDZK1,Entity
Hypogeusia,Entity
MIR100,Entity
Propranolol,Entity
DLAT,Entity
IL10,Entity
FOLR1,Entity
PDZRN4,Entity
CTRC,Entity
ARID4B,Entity
C4orf19,Entity
GNB3,Entity
Abnormal circulating apolipoprotein concentration,Entity
CLCN3,Entity
CCR2,Entity
"digestive system neuroendocrine tumor, grade 1/2",Entity
Ozone,Entity
Articaine,Entity
Low levels of vitamin B1,Entity
HAS3,Entity
PALB2,Entity
FANCD2,Entity
ME1,Entity
Mercury,Entity
C12orf76,Entity
Aztreonam,Entity
pancreatic cystadenocarcinoma,Entity
cardia cancer,Entity
Tinidazole,Entity
RAB23,Entity
DGAT2,Entity
POLR2G,Entity
congenital anemia,Entity
bis(4-hydroxyphenyl)sulfone,Entity
"Hydrocarbons, Chlorinated",Entity
Miconazole,Entity
GSN,Entity
P4HB,Entity
Demeclocycline,Entity
Abnormal circulating eicosanoid concentration,Entity
TALDO1,Entity
CSPG4,Entity
Hepatic vein thrombosis,Entity
RRM2B,Entity
tumor of duodenum,Entity
Blue sclerae,Entity
MALAT1,Entity
necrotizing gastritis,Entity
FBXW7,Entity
MIR185,Entity
RBBP8,Entity
genetic systemic or rheumatologic disease,Entity
Riluzole,Entity
Hepatoblastoma,Entity
vestibule of mouth cancer,Entity
IL21,Entity
TXNRD1,Entity
SH3TC1,Entity
esophageal lipoma,Entity
KLF14,Entity
respiratory system cancer,Entity
Muscular hypotonia of the trunk,Entity
MIR328,Entity
TM6SF2,Entity
Diethylpropion,Entity
MYBL1,Entity
PEMT,Entity
Neutropenia,Entity
NKX2-1,Entity
congenital sucrase-isomaltase deficiency,Entity
Disopyramide,Entity
Racepinephrine,Entity
GPC3,Entity
Flaviviridae infectious disease,Entity
CEBPA,Entity
CCDC93,Entity
SRSF6,Entity
NEAT1,Entity
Hydrochloric Acid,Entity
Simvastatin,Entity
GATA1,Entity
MECP2,Entity
NR1D1,Entity
rectal traditional serrated adenoma,Entity
Neoplasm of the skin,Entity
Hypotonia,Entity
DNAJB9,Entity
Extension of hair growth on temples to lateral eyebrow,Entity
Ileal atresia,Entity
colon leiomyoma,Entity
eosinophilic gastritis,Entity
ZNF471,Entity
Irritability,Entity
Sarcoma,Entity
FOXL2,Entity
Carmofur,Entity
Ardeparin,Entity
ADRA1A,Entity
GPX3,Entity
MIR1247,Entity
biliary tract disease,Entity
Vinyl Chloride,Entity
Decreased prealbumin level,Entity
Retinal degeneration,Entity
TATDN1,Entity
"colorectal cancer, hereditary nonpolyposis,",Entity
Anti-glutamic acid decarboxylase antibody positivity,Entity
Methylergometrine,Entity
Adefovir dipivoxil,Entity
Buformin,Entity
genetic biliary tract disease,Entity
Misoprostol,Entity
Papillary cystadenoma of the epididymis,Entity
Pentostatin,Entity
CYBA,Entity
Succinylcholine,Entity
Anal canal neoplasm,Entity
CDCA3,Entity
appendix leiomyoma,Entity
GNMT,Entity
ABCB6,Entity
Bilateral single transverse palmar creases,Entity
Downturned corners of mouth,Entity
esophageal neuroendocrine tumor,Entity
Zinc oxide,Entity
RPS6KB1,Entity
head and neck carcinoma,Entity
ZNF257,Entity
anal Paget disease,Entity
Intestinal obstruction,Entity
Hirschsprung disease-type D brachydactyly syndrome,Entity
EIF3H,Entity
HSPA8,Entity
HTR3C,Entity
Abnormal form of the vertebral bodies,Entity
MAPK8,Entity
MT1F,Entity
MIR338,Entity
small intestinal enteropathy-associated T-cell lymphoma,Entity
YBX1,Entity
extrahepatic bile duct lipoma,Entity
MIR301A,Entity
Iocetamic acid,Entity
gastrointestinal stromal tumor,Entity
"pancreatic lymphoma, familial",Entity
Methimazole,Entity
microcephalic primordial dwarfism-insulin resistance syndrome,Entity
Choline magnesium trisalicylate,Entity
butylate,Entity
rectal tubular adenoma,Entity
Ursodeoxycholic acid,Entity
Minocycline,Entity
AGT,Entity
Saquinavir,Entity
PTPN1,Entity
fungal esophagitis,Entity
major salivary gland carcinoma,Entity
Medetomidine,Entity
Aplasia/Hypoplasia of the pancreas,Entity
Metyrosine,Entity
CACNB1,Entity
KDM6A,Entity
SMAD2,Entity
Caroli disease,Entity
FAM92B,Entity
Sodium citrate,Entity
STC2,Entity
necrotizing enterocolitis,Entity
Bendamustine,Entity
WEE2,Entity
ampullary signet ring cell adenocarcinoma,Entity
Melena,Entity
MIR92B,Entity
skull cancer,Entity
hamartoma (disease),Entity
duodenal obstruction,Entity
Delayed skeletal maturation,Entity
SLC30A8,Entity
IRAK1,Entity
Narrow mouth,Entity
Dichlorvos,Entity
Meconium stained amniotic fluid,Entity
rectosigmoid junction cancer,Entity
Malabsorption,Entity
bromodichloromethane,Entity
adenoma of small intestine,Entity
IFI27,Entity
pancreatic non-invasive mucinous cystadenocarcinoma,Entity
syndromic intellectual disability,Entity
B2M,Entity
IL13RA1,Entity
cholecystitis,Entity
MIR1343,Entity
CYP2A6,Entity
adenomatous colon polyp,Entity
BID,Entity
Biliary tract obstruction,Entity
CCNH,Entity
malignant tumor of extrahepatic bile duct,Entity
SETBP1,Entity
SMTN,Entity
